image_id,src_file,group_id,category,print_type,surface,capture_note,source,collected_by,collected_at,orig_w,orig_h,orig_exif_orientation,orig_bytes,out_w,out_h,out_bytes
cust_0001,IMG_5158.jpeg,cust_0001,,,,,,,2026-09-14,3213,5712,1,1926082,1152,2048,294739
cust_0002,IMG_5159.jpeg,cust_0002,,,,,,,2026-09-14,3213,5712,1,2060273,1152,2048,350371
cust_0003,IMG_5160.jpeg,cust_0003,,,,,,,2026-09-14,3213,5712,1,2072082,1152,2048,351913
cust_0004,IMG_5161.jpeg,cust_0004,,,,,,,2026-09-14,3213,5712,1,2065045,1152,2048,361095
cust_0005,IMG_5162.jpeg,cust_0005,,,,,,,2026-09-14,3213,5712,1,1764392,1152,2048,285312
cust_0006,IMG_5163.jpeg,cust_0006,,,,,,,2026-09-14,3213,5712,1,1901057,1152,2048,323963
cust_0007,IMG_5164.jpeg,cust_0007,,,,,,,2026-09-14,3213,5712,1,1856451,1152,2048,311217
cust_0008,IMG_5165.jpeg,cust_0008,,,,,,,2026-09-14,3213,5712,1,1837996,1152,2048,256065
cust_0009,IMG_5166.jpeg,cust_0009,,,,,,,2026-09-14,3213,5712,1,1819084,1152,2048,272645
cust_0010,IMG_5167.jpeg,cust_0010,,,,,,,2026-09-14,5712,3213,1,1898197,2048,1152,314194
cust_0011,IMG_5168.jpeg,cust_0011,,,,,,,2026-09-14,5712,3213,1,1834695,2048,1152,273351
cust_0012,IMG_5169.jpeg,cust_0012,,,,,,,2026-09-14,2268,4032,1,884129,1152,2048,274989
cust_0013,IMG_5170.jpeg,cust_0013,,,,,,,2026-09-14,2268,4032,1,824015,1152,2048,239124
cust_0014,IMG_5171.jpeg,cust_0014,,,,,,,2026-09-14,2268,4032,1,859383,1152,2048,268282
cust_0015,IMG_5172.jpeg,cust_0015,,,,,,,2026-09-14,3213,5712,1,2006600,1152,2048,312406
cust_0016,IMG_5173.jpeg,cust_0016,,,,,,,2026-09-14,2268,4032,1,816153,1152,2048,250649
cust_0017,IMG_5174.jpeg,cust_0017,,,,,,,2026-09-14,2268,4032,1,836663,1152,2048,215491
cust_0018,IMG_5175.jpeg,cust_0018,,,,,,,2026-09-14,3213,5712,1,2078939,1152,2048,362947
cust_0019,IMG_5176.jpeg,cust_0019,,,,,,,2026-09-14,3213,5712,1,2758834,1152,2048,480530
cust_0020,IMG_5177.jpeg,cust_0020,,,,,,,2026-09-14,3213,5712,1,2996023,1152,2048,540504
cust_0022,IMG_8774.JPG,cust_0022,,,,,,,2026-09-14,4032,3024,6,2460452,1536,2048,475946
cust_0023,IMG_8775.JPG,cust_0023,,,,,,,2026-09-14,4032,3024,6,2591357,1536,2048,497999
cust_0024,IMG_8776.JPG,cust_0024,,,,,,,2026-09-14,4032,3024,6,2809592,1536,2048,563026
cust_0025,IMG_8777.JPG,cust_0025,,,,,,,2026-09-14,4032,3024,6,2958310,1536,2048,653607
cust_0026,IMG_8778.JPG,cust_0026,,,,,,,2026-09-14,4032,3024,6,2882551,1536,2048,570074
cust_0027,IMG_8779.JPG,cust_0027,,,,,,,2026-09-14,4032,3024,6,2587713,1536,2048,490557
cust_0028,IMG_8780.JPG,cust_0028,,,,,,,2026-09-14,4032,3024,6,2824471,1536,2048,505123
cust_0029,IMG_8781.JPG,cust_0029,,,,,,,2026-09-14,4032,3024,6,2890171,1536,2048,621153
cust_0030,IMG_8782.JPG,cust_0030,,,,,,,2026-09-14,4032,3024,6,3014890,1536,2048,714663
cust_0031,IMG_8783.JPG,cust_0031,,,,,,,2026-09-14,4032,3024,6,2758661,1536,2048,624845
cust_0032,IMG_8784.JPG,cust_0032,,,,,,,2026-09-14,4032,3024,6,2996994,1536,2048,622252
cust_0033,IMG_8785.JPG,cust_0033,,,,,,,2026-09-14,4032,3024,6,2316174,1536,2048,424473
cust_0034,IMG_8786.JPG,cust_0034,,,,,,,2026-09-14,4032,3024,6,2412589,1536,2048,447565
cust_0035,IMG_8787.JPG,cust_0035,,,,,,,2026-09-14,4032,3024,6,2784925,1536,2048,641589
cust_0036,IMG_8788.JPG,cust_0036,,,,,,,2026-09-14,4032,3024,6,2444160,1536,2048,479655
cust_0037,IMG_8789.JPG,cust_0037,,,,,,,2026-09-14,4032,3024,6,2838932,1536,2048,557567
cust_0038,IMG_8790.JPG,cust_0038,,,,,,,2026-09-14,4032,3024,6,2983415,1536,2048,702518
cust_0039,IMG_8791.JPG,cust_0039,,,,,,,2026-09-14,4032,3024,6,3181168,1536,2048,691971
cust_0040,IMG_8792.JPG,cust_0040,,,,,,,2026-09-14,4032,3024,6,2707026,1536,2048,587820
cust_0041,IMG_8793.JPG,cust_0041,,,,,,,2026-09-14,4032,3024,6,2510726,1536,2048,573167
cust_0042,IMG_8794.JPG,cust_0042,,,,,,,2026-09-14,4032,3024,6,2811735,1536,2048,595429
cust_0043,IMG_8795.JPG,cust_0043,,,,,,,2026-09-14,4032,3024,6,3272747,1536,2048,676254
cust_0044,IMG_8796.JPG,cust_0044,,,,,,,2026-09-14,4032,3024,6,3054416,1536,2048,659219
cust_0045,IMG_8797.JPG,cust_0045,,,,,,,2026-09-14,4032,3024,6,3264924,1536,2048,644735
cust_0046,IMG_8798.JPG,cust_0046,,,,,,,2026-09-14,4032,3024,6,2902564,1536,2048,631565
cust_0047,IMG_8799.JPG,cust_0047,,,,,,,2026-09-14,4032,3024,6,2869106,1536,2048,628920
cust_0048,IMG_8800.JPG,cust_0048,,,,,,,2026-09-14,4032,3024,6,2715952,1536,2048,622693
cust_0049,IMG_8801.JPG,cust_0049,,,,,,,2026-09-14,4032,3024,6,2689118,1536,2048,500901
cust_0050,IMG_8802.JPG,cust_0050,,,,,,,2026-09-14,4032,3024,6,2983863,1536,2048,568452
cust_0051,IMG_8803.JPG,cust_0051,,,,,,,2026-09-14,4032,3024,6,2536789,1536,2048,517942
cust_0052,IMG_8804.JPG,cust_0052,,,,,,,2026-09-14,4032,3024,6,2610249,1536,2048,538817
cust_0053,IMG_8805.JPG,cust_0053,,,,,,,2026-09-14,4032,3024,6,2554764,1536,2048,518784
cust_0054,IMG_8806.JPG,cust_0054,,,,,,,2026-09-14,4032,3024,6,2524476,1536,2048,500674
cust_0055,IMG_8807.JPG,cust_0055,,,,,,,2026-09-14,4032,3024,6,2448463,1536,2048,494517
cust_0056,IMG_8808.JPG,cust_0056,,,,,,,2026-09-14,4032,3024,6,2462576,1536,2048,476953
cust_0057,IMG_8809.JPG,cust_0057,,,,,,,2026-09-14,4032,3024,6,2672468,1536,2048,631129
cust_0058,IMG_8810.JPG,cust_0058,,,,,,,2026-09-14,4032,3024,6,2857716,1536,2048,567253
cust_0059,IMG_8811.JPG,cust_0059,,,,,,,2026-09-14,4032,3024,6,2464326,1536,2048,496087
cust_0060,IMG_8812.JPG,cust_0060,,,,,,,2026-09-14,4032,3024,6,2697838,1536,2048,568569
cust_0061,IMG_8813.JPG,cust_0061,,,,,,,2026-09-14,4032,3024,6,3279131,1536,2048,698390
cust_0062,IMG_8814.JPG,cust_0062,,,,,,,2026-09-14,4032,3024,6,3107310,1536,2048,705722
cust_0063,IMG_8815.JPG,cust_0063,,,,,,,2026-09-14,4032,3024,6,2910230,1536,2048,588161
cust_0064,IMG_8816.JPG,cust_0064,,,,,,,2026-09-14,4032,3024,6,2685871,1536,2048,589633
