case_id,image_id,input_text,expect_year,expect_month,expect_day,expect_final_date,note
pc_001,,소비기한 26.09.11까지,2026,09,11,2026-09-11,2자리 연도 + '까지'
pc_002,,유통기한 2026.09.11,2026,09,11,2026-09-11,구 용어(유통기한) 잔존
pc_003,,사용기한: 2026.09,2026,09,NONE,2026-09-NONE,의약품 — 일(day) 미인쇄
pc_004,,EXP 2026.09,2026,09,NONE,2026-09-NONE,영문 키워드 + 연-월만
pc_005,,EXP.DATE 09/2026,2026,09,NONE,2026-09-NONE,MM/YYYY 순서 — 파서 취약점 후보
pc_006,,제조일자 2024.09.11 제조일로부터 24개월,2026,09,11,2026-09-11,상대표기 계산. RELATIVE_EXPR_AS_NONE=False 기준
pc_007,,LOT 260911 소비기한 2026.12.31,2026,12,31,2026-12-31,로트번호가 날짜꼴 — 오탐 방어 확인
pc_008,,품목보고번호 20240911234567 소비기한 2026.09.11,2026,09,11,2026-09-11,긴 숫자열에서 날짜 오추출 방지
pc_009,,賞味期限 2026.09.11,2026,09,11,2026-09-11,일본 품질유지기한 한자 키워드
pc_010,,使用期限 2026.9,2026,09,NONE,2026-09-NONE,일본 사용기한 + 한자리 월
pc_011,,消費期限 26.09.11,2026,09,11,2026-09-11,일본 소비기한 + 2자리 연도
pc_012,,개봉 후 12M 이내 사용,NONE,NONE,NONE,NONE,화장품 PAO — 기한이 아님. 반드시 NONE
pc_013,,소비기한 상단 표기일까지,NONE,NONE,NONE,NONE,참조 표기 — 날짜 없음
pc_014,,소비기한 260911,2026,09,11,2026-09-11,구분자 없는 압축 표기
pc_015,,소비기한 2O26.O9.I1,2026,09,11,2026-09-11,"OCR 문자 혼동(O→0, I→1) 재현"
pc_016,,제조일자 2024.09.11 소비기한 2026.09.11,2026,09,11,2026-09-11,제조일/소비기한 동시 표기 — 키워드 우선
