image_id,file,cat,kind,exp_score,blur_n,contrast,range,lum,glare,gap_gain,comp_per_w,stroke_n,ink,skew,box_h,box_w
000008,000008.jpg,0_일반,crop,0.6678,1.923,13.8,35.0,78.2,0.0,0.19,23.81,1.91,0.068,4.7,414,1227
000009,000009.jpg,5_판독불가_진짜,crop,0.7564,1.067,41.5,153.0,31.4,0.0,0.129,6.98,1.91,0.127,0.0,411,1381
000014,000014.jpg,3_상대표기,crop,0.4335,3.205,34.2,68.0,206.6,0.0003,0.091,34.33,1.91,0.077,0.0,232,488
000038,000038.jpg,0_일반,crop,0.45,1.032,51.1,156.0,187.4,0.0013,0.015,6.46,1.91,0.211,0.0,414,1704
000050,000050.jpg,5_판독불가_진짜,crop,0.4045,2.708,67.8,198.0,176.5,0.0037,0.182,16.33,1.91,0.242,0.0,322,1234
000055,000055.jpg,3_상대표기,crop,0.7029,1.173,45.7,162.0,220.5,0.0208,0.057,54.73,1.91,0.176,0.0,361,1372
000056,000056.jpg,3_상대표기,crop,0.7499,0.658,70.1,213.0,197.4,0.0046,0.055,12.7,2.74,0.192,0.0,231,912
000078,000078.jpg,0_일반,crop,0.6493,1.202,43.2,141.0,132.4,0.0,0.102,127.88,1.91,0.243,0.0,318,1123
000097,000097.jpg,0_일반,crop,0.6064,0.527,40.4,160.0,103.4,0.0,0.126,18.23,1.91,0.228,0.0,395,1122
000114,000114.jpg,0_일반,crop,0.5569,0.742,42.8,145.0,120.1,0.0,0.03,10.0,1.91,0.176,1.9,249,665
000143,000143.jpg,5_판독불가_진짜,crop,0.4392,2.676,38.2,123.0,194.3,0.0,0.171,29.25,1.91,0.101,1.3,250,576
000148,000148.jpg,2_다중날짜,crop,0.8435,0.241,45.3,126.0,205.0,0.0061,0.023,8.04,1.91,0.184,0.0,201,626
000153,000153.jpg,0_일반,crop,0.6369,1.715,23.6,88.0,128.5,0.0,0.076,7.45,1.91,0.084,4.2,202,806
000154,000154.jpg,0_일반,crop,0.6409,0.083,41.5,144.0,177.2,0.0,0.017,20.98,1.91,0.171,-3.5,307,1077
000157,000157.jpg,0_일반,full,0.2117,1.861,55.1,175.0,109.2,0.0003,0.21,54.17,1.91,0.393,0.0,900,675
000174,000174.jpg,0_일반,crop,0.5109,0.701,82.3,213.0,185.8,0.0255,0.06,10.27,1.91,0.232,0.0,307,1078
000183,000183.jpg,5b_판독불가_EXP각인추정,crop,0.3891,0.107,45.4,147.0,165.1,0.0,0.007,9.09,2.74,0.149,6.5,211,655
000184,000184.jpg,0_일반,crop,0.6201,0.513,33.0,102.0,131.6,0.0074,0.082,10.75,1.91,0.257,0.0,312,908
000235,000235.jpg,5_판독불가_진짜,crop,0.5763,4.728,25.1,41.0,163.2,0.0,0.106,51.35,1.91,0.064,3.0,553,1602
000242,000242.jpg,2b_부터까지쌍,crop,0.5779,1.146,71.2,219.0,181.2,0.0087,0.105,70.13,1.91,0.245,0.0,306,738
000250,000250.jpg,0_일반,crop,0.8316,0.438,52.2,159.0,127.9,0.0,0.017,10.58,2.74,0.164,4.8,314,929
000252,000252.jpg,0_일반,crop,0.3636,1.553,45.4,150.0,202.5,0.0003,0.03,10.49,1.91,0.097,-2.4,534,1359
000275,000275.jpg,3_상대표기,crop,0.5537,0.176,57.0,161.0,133.9,0.0,0.01,10.69,3.82,0.234,0.0,234,1061
000283,000283.jpg,0_일반,crop,0.2791,0.294,36.4,109.0,74.1,0.0,0.075,18.63,1.91,0.127,3.2,328,526
