image_id,file,split,group,cat,batch,hint_category,year,month,day,final_date,status
000001,000001.jpg,holdout,0,0_일반,C,,2027,06,26,2027-06-26,완료
000008,000008.jpg,dev,1,0_일반,C,,2027,06,29,2027-06-29,완료
000009,000009.jpg,dev,1,5_판독불가_진짜,B,4_참조표기;5_판독불가_진짜,2026,10,29,2026-10-29,완료
000014,000014.jpg,dev,2,3_상대표기,A,3_상대표기;4_참조표기,2026,01,31,2026-01-31,완료
000021,000021.jpg,holdout,3,0_일반,A,,2025,10,10,2025-10-10,완료
000022,000022.jpg,holdout,3,0_일반,C,,2025,10,14,2025-10-14,완료
000023,000023.jpg,holdout,3,0_일반,A,,2025,10,10,2025-10-10,완료
000028,000028.jpg,holdout,4,0_일반,A,,2026,02,10,2026-02-10,완료
000029,000029.jpg,holdout,4,0_일반,A,,2026,08,02,2026-08-02,완료
000031,000031.jpg,holdout,4,0_일반,C,,2026,02,14,2026-02-14,완료
000033,000033.jpg,holdout,4,0_일반,A,,2026,06,17,2026-06-17,완료
000038,000038.jpg,dev,5,0_일반,C,,2027,02,12,2027-02-12,완료
000050,000050.jpg,dev,6,5_판독불가_진짜,A,5_판독불가_진짜,2025,09,30,2025-09-30,완료
000055,000055.jpg,dev,7,3_상대표기,A,3_상대표기,2026,08,04,2026-08-04,완료
000056,000056.jpg,dev,7,3_상대표기,A,3_상대표기,2026,07,11,2026-07-11,완료
000078,000078.jpg,dev,8,0_일반,B,,2025,06,19,2025-06-19,완료
000081,000081.jpg,holdout,9,2b_부터까지쌍,B,2b_부터까지쌍,2026,05,18,2026-05-18,완료
000097,000097.jpg,dev,10,0_일반,B,,2025,11,19,2025-11-19,완료
000114,000114.jpg,dev,11,0_일반,B,,2026,02,28,2026-02-28,완료
000137,000137.jpg,holdout,12,3_상대표기,A,3_상대표기,2026,03,26,2026-03-26,완료
000138,000138.jpg,holdout,12,0_일반,C,,2026,05,14,2026-05-14,완료
000143,000143.jpg,dev,13,5_판독불가_진짜,B,4_참조표기;5_판독불가_진짜,2027,06,03,2027-06-03,완료
000148,000148.jpg,dev,14,2_다중날짜,B,2_다중날짜,2026,02,26,2026-02-26,완료
000153,000153.jpg,dev,15,0_일반,B,,2026,10,12,2026-10-12,완료
000154,000154.jpg,dev,15,0_일반,C,,2027,08,13,2027-08-13,완료
000157,000157.jpg,dev,16,0_일반,A,,2027,07,08,2027-07-08,완료
000174,000174.jpg,dev,17,0_일반,B,,2026,09,05,2026-09-05,완료
000183,000183.jpg,dev,18,5b_판독불가_EXP각인추정,B,5b_판독불가_EXP각인추정,2027,07,28,2027-07-28,완료
000184,000184.jpg,dev,18,0_일반,A,,2027,11,19,2027-11-19,완료
000216,000216.jpg,holdout,19,0_일반,C,,2026,03,16,2026-03-16,완료
000235,000235.jpg,dev,20,5_판독불가_진짜,A,4_참조표기;5_판독불가_진짜,2026,03,08,2026-03-08,완료
000242,000242.jpg,dev,21,2b_부터까지쌍,C,2b_부터까지쌍,2026,05,21,2026-05-21,완료
000250,000250.jpg,dev,22,0_일반,B,,2026,03,04,2026-03-04,완료
000252,000252.jpg,dev,22,0_일반,A,,2026,07,09,2026-07-09,완료
000269,000269.jpg,holdout,23,0_일반,A,,2026,05,15,2026-05-15,완료
000275,000275.jpg,dev,24,3_상대표기,B,3_상대표기;4_참조표기,2026,04,23,2026-04-23,완료
000283,000283.jpg,dev,25,0_일반,C,,2027,09,17,2027-09-17,완료
000284,000284.jpg,dev,25,5_판독불가_진짜,A,5_판독불가_진짜,2026,08,20,2026-08-20,완료
000285,000285.jpg,dev,25,0_일반,B,,2027,07,02,2027-07-02,완료
000286,000286.jpg,dev,25,3_상대표기,C,3_상대표기,2027,03,11,2027-03-11,완료
000287,000287.jpg,dev,25,5_판독불가_진짜,C,4_참조표기;5_판독불가_진짜,2027,02,18,2027-02-18,완료
000290,000290.jpg,dev,26,0_일반,C,,2027,03,02,2027-03-02,완료
000291,000291.jpg,dev,26,3_상대표기,B,3_상대표기;4_참조표기,2027,07,21,2027-07-21,완료
000294,000294.jpg,dev,27,2_다중날짜,C,2_다중날짜,2026,09,08,2026-09-08,완료
000307,000307.jpg,dev,28,0_일반,C,,2025,11,14,2025-11-14,완료
000320,000320.jpg,dev,29,2b_부터까지쌍,A,2b_부터까지쌍,2025,11,12,2025-11-12,완료
000323,000323.jpg,holdout,30,5_판독불가_진짜,A,5_판독불가_진짜,2025,12,21,2025-12-21,완료
000331,000331.jpg,holdout,31,0_일반,A,,2025,10,31,2025-10-31,완료
000335,000335.jpg,holdout,32,0_일반,A,,2025,11,28,2025-11-28,완료
000338,000338.jpg,holdout,33,0_일반,B,,2026,05,28,2026-05-28,완료
000340,000340.jpg,holdout,33,0_일반,B,,2026,08,11,2026-08-11,완료
000356,000356.jpg,holdout,34,3_상대표기,A,3_상대표기,2027,03,17,2027-03-17,완료
000362,000362.jpg,dev,35,0_일반,C,,2026,08,11,2026-08-11,완료
000366,000366.jpg,dev,36,5_판독불가_진짜,B,5_판독불가_진짜,2026,09,05,2026-09-05,완료
000367,000367.jpg,dev,36,0_일반,A,,2026,05,18,2026-05-18,완료
000372,000372.jpg,holdout,37,5_판독불가_진짜,B,4_참조표기;5_판독불가_진짜,2026,09,15,2026-09-15,완료
000379,000379.jpg,holdout,38,5_판독불가_진짜,A,5_판독불가_진짜,2026,09,05,2026-09-05,완료
000383,000383.jpg,dev,39,4_참조표기,B,4_참조표기,2026,04,03,2026-04-03,완료
000384,000384.jpg,dev,39,5_판독불가_진짜,B,5_판독불가_진짜,2026,07,08,2026-07-08,완료
000386,000386.jpg,dev,39,0_일반,C,,2026,06,10,2026-06-10,완료
000388,000388.jpg,dev,39,0_일반,B,,2026,01,15,2026-01-15,완료
000396,000396.jpg,dev,40,5_판독불가_진짜,B,5_판독불가_진짜,2026,02,27,2026-02-27,완료
000401,000401.jpg,dev,41,0_일반,C,,2027,04,12,2027-04-12,완료
000404,000404.jpg,dev,42,0_일반,A,,2026,06,10,2026-06-10,완료
000411,000411.jpg,dev,43,3_상대표기,A,3_상대표기;4_참조표기,2026,09,09,2026-09-09,완료
