image_id,batch,hint_category,year,month,day,final_date,note,status,labeler,updatedAt,updated_kst,tag_유통기한만,tag_다중날짜,tag_부터까지쌍,tag_상대표기,tag_참조표기,tag_판독불가,tag_EXP각인,tag_연도부재,has_year,has_month,has_day,is_complete,n_tags,image_exists
000014,A,3_상대표기;4_참조표기,2026,01,31,2026-01-31,,완료,정주희,1788954970708,2026-09-09 20:56,False,False,False,True,True,False,False,False,True,True,True,True,2,True
000021,A,,2025,10,10,2025-10-10,,완료,정주희,1789009059735,2026-09-10 11:57,False,False,False,False,False,False,False,False,True,True,True,True,0,True
000023,A,,2025,10,10,2025-10-10,,완료,정주희,1789009085843,2026-09-10 11:58,False,False,False,False,False,False,False,False,True,True,True,True,0,True
000028,A,,2026,02,10,2026-02-10,,완료,정주희,1789009098212,2026-09-10 11:58,False,False,False,False,False,False,False,False,True,True,True,True,0,True
000029,A,,2026,08,02,2026-08-02,,완료,정주희,1789009109012,2026-09-10 11:58,False,False,False,False,False,False,False,False,True,True,True,True,0,True
000033,A,,2026,06,17,2026-06-17,,완료,정주희,1789009126989,2026-09-10 11:58,False,False,False,False,False,False,False,False,True,True,True,True,0,True
000050,A,5_판독불가_진짜,2025,09,30,2025-09-30,,완료,정주희,1789009137964,2026-09-10 11:58,False,False,False,False,False,True,False,False,True,True,True,True,1,True
000055,A,3_상대표기,2026,08,04,2026-08-04,,완료,정주희,1789009147497,2026-09-10 11:59,False,False,False,True,False,False,False,False,True,True,True,True,1,True
000056,A,3_상대표기,2026,07,11,2026-07-11,,완료,정주희,1789009161170,2026-09-10 11:59,False,False,False,True,False,False,False,False,True,True,True,True,1,True
000137,A,3_상대표기,2026,03,26,2026-03-26,,완료,정주희,1789009174912,2026-09-10 11:59,False,False,False,True,False,False,False,False,True,True,True,True,1,True
000157,A,,2027,07,08,2027-07-08,,완료,정주희,1789009188885,2026-09-10 11:59,False,False,False,False,False,False,False,False,True,True,True,True,0,True
000184,A,,2027,11,19,2027-11-19,,완료,정주희,1789009205137,2026-09-10 12:00,False,False,False,False,False,False,False,False,True,True,True,True,0,True
000235,A,4_참조표기;5_판독불가_진짜,2026,03,08,2026-03-08,,완료,정주희,1789009221966,2026-09-10 12:00,False,False,False,False,True,True,False,False,True,True,True,True,2,True
000252,A,,2026,07,09,2026-07-09,,완료,정주희,1789009231015,2026-09-10 12:00,False,False,False,False,False,False,False,False,True,True,True,True,0,True
000269,A,,2026,05,15,2026-05-15,,완료,정주희,1789009246195,2026-09-10 12:00,False,False,False,False,False,False,False,False,True,True,True,True,0,True
