image_id,batch
000075,E
000082,E
000095,E
000102,E
000144,E
000145,E
000147,E
000186,E
000227,E
000236,E
000238,E
000239,E
000243,E
000262,E
000277,E
000299,E
000305,E
000360,E
000363,E
000370,E
000380,E
000397,E
000423,E
000441,E
000447,E
000490,E
000530,E
000614,E
000671,E
000677,E
000742,E
000773,E
000791,E
000793,E
000843,E
000859,E
000885,E
000934,E
000955,E
000958,E
000962,E
000980,E
001061,E
001076,E
001078,E
001082,E
001094,E
001111,E
001137,E
001247,E
001278,E
001290,E
001300,E
001379,E
001380,E
001405,E
001423,E
001436,E
001478,E
001494,E
001505,E
001524,E
001525,E
001529,E
001533,E
001545,E
001546,E
001554,E
001563,E
001577,E
001581,E
001593,E
001597,E
001733,E
001752,E
001811,E
001828,E
001841,E
001857,E
001895,E
001905,E
001909,E
002012,E
002014,E
002016,E
002017,E
002044,E
002076,E
002085,E
002089,E
002093,E
002120,E
002146,E
002226,E
002269,E
002290,E
002308,E
002332,E
002345,E
002371,E
002375,E
002452,E
002478,E
002514,E
002521,E
002524,E
002531,E
002538,E
002668,E
002690,E
002709,E
002710,E
002758,E
002815,E
002821,E
002833,E
002905,E
002909,E
002912,E
002914,E
002939,E
002940,E
002959,E
002964,E
002975,E
002980,E
002985,E
002997,E
003000,E
003020,E
003050,E
003061,E
003067,E
003107,E
003111,E
003124,E
003126,E
003150,E
003190,E
003208,E
003216,E
003219,E
003230,E
003231,E
003244,E
003247,E
003304,E
003316,E
003334,E
003349,E
003350,E
000030,D
000052,D
000089,D
000131,D
000146,D
000187,D
000205,D
000207,D
000219,D
000221,D
000303,D
000308,D
000316,D
000368,D
000371,D
000373,D
000378,D
000395,D
000402,D
000420,D
000425,D
000450,D
000518,D
000520,D
000532,D
000557,D
000579,D
000584,D
000587,D
000603,D
000620,D
000625,D
000656,D
000674,D
000680,D
000690,D
000720,D
000745,D
000759,D
000795,D
000820,D
000827,D
000834,D
000841,D
000897,D
000899,D
000929,D
000932,D
000990,D
000991,D
001005,D
001016,D
001018,D
001020,D
001022,D
001026,D
001068,D
001093,D
001150,D
001185,D
001244,D
001275,D
001298,D
001303,D
001313,D
001336,D
001343,D
001351,D
001364,D
001377,D
001386,D
001417,D
001452,D
001500,D
001520,D
001521,D
001574,D
001614,D
001631,D
001689,D
001756,D
001770,D
001777,D
001785,D
001791,D
001807,D
001824,D
001829,D
001835,D
001876,D
001899,D
001915,D
001954,D
001984,D
001989,D
002051,D
002084,D
002097,D
002099,D
002129,D
002142,D
002200,D
002208,D
002246,D
002248,D
002289,D
002370,D
002383,D
002389,D
002394,D
002410,D
002412,D
002424,D
002484,D
002493,D
002508,D
002518,D
002542,D
002566,D
002642,D
002644,D
002649,D
002667,D
002669,D
002724,D
002726,D
002774,D
002801,D
002814,D
002823,D
002830,D
002938,D
002984,D
003045,D
003057,D
003073,D
003085,D
003125,D
003145,D
003153,D
003166,D
003179,D
003213,D
003233,D
003235,D
003245,D
003256,D
003271,D
003343,D
003345,D
003346,D
003347,D
